rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,train/loss
-77.82,50.0,8,0.8593999999999997,592,29600,3503,1787,0.0001,2.205686092376709
-78.24,50.0,8,0.8584499999999998,596,29800,3501,1800,0.0001,1.8496408462524414
-78.3,50.0,8,0.8574999999999999,600,30000,3501,1812,0.0001,2.1298341751098633
-78.18,50.0,8,0.8565499999999999,604,30200,3498,1825,0.0001,2.322296142578125
-78.24,50.0,8,0.8556000000000001,608,30400,3496,1837,0.0001,4.428831100463867
-78.36,50.0,8,0.8546500000000002,612,30600,3495,1850,0.0001,2.7197861671447754
-78.36,50.0,8,0.8537000000000003,616,30800,3494,1862,0.0001,1.6658246517181396
-78.48,50.0,8,0.8527500000000003,620,31000,3493,1875,0.0001,2.6836483478546143
-78.96,50.0,8,0.8518000000000006,624,31200,3492,1887,0.0001,2.9989471435546875
-79.08,50.0,8,0.8508499999999996,628,31400,3490,1900,0.0001,2.838606357574463
-79.2,50.0,9,0.8498999999999997,632,31600,3490,1912,0.0001,1.8646750450134277
-79.98,50.0,9,0.8489499999999998,636,31800,3489,1925,0.0001,2.725405216217041
-79.68,50.0,9,0.8479999999999999,640,32000,3488,1937,0.0001,1.4645190238952637
-80.04,50.0,9,0.84705,644,32200,3488,1950,0.0001,3.3957269191741943
-80.1,50.0,9,0.8461000000000001,648,32400,3488,1962,0.0001,3.2210006713867188
-80.34,50.0,9,0.8451500000000002,652,32600,3486,1975,0.0001,1.9825551509857178
-80.4,50.0,9,0.8442000000000003,656,32800,3485,1987,0.0001,2.1320412158966064
-80.4,50.0,9,0.8432500000000004,660,33000,3483,2000,0.0001,3.5608878135681152
-80.34,50.0,9,0.8423000000000005,664,33200,3483,2012,0.0001,3.3962020874023438
-80.58,50.0,9,0.8413499999999996,668,33400,3480,2025,0.0001,2.1614534854888916
-80.4,50.0,9,0.8403999999999997,672,33600,3478,2037,0.0001,2.6186299324035645
-80.46,50.0,9,0.8394499999999998,676,33800,3474,2050,0.0001,2.3087425231933594
-80.7,50.0,9,0.8384999999999998,680,34000,3467,2062,0.0001,2.986858367919922
-80.1,50.0,9,0.83755,684,34200,3464,2075,0.0001,2.666912078857422
-80.94,50.0,9,0.8366,688,34400,3461,2087,0.0001,3.5336360931396484
-81.06,50.0,10,0.8356500000000002,692,34600,3458,2100,0.0001,4.612110614776611
-80.88,50.0,10,0.8347000000000003,696,34800,3458,2112,0.0001,1.995854139328003
-80.94,50.0,10,0.8337500000000004,700,35000,3457,2125,0.0001,2.262953042984009
-81.06,50.0,10,0.8328000000000005,704,35200,3457,2137,0.0001,3.3858489990234375
-80.88,50.0,10,0.8318499999999995,708,35400,3457,2150,0.0001,2.704822063446045
-81.0,50.0,10,0.8308999999999996,712,35600,3458,2162,0.0001,2.299079418182373
-81.12,50.0,10,0.8299499999999997,716,35800,3458,2175,0.0001,2.04823637008667
-81.3,50.0,10,0.8289999999999998,720,36000,3458,2187,0.0001,1.8681728839874268
-81.24,50.0,10,0.82805,724,36200,3455,2200,0.0001,4.356027126312256
-81.06,50.0,10,0.8271000000000001,728,36400,3454,2212,0.0001,3.305262565612793
-81.12,50.0,10,0.8261500000000002,732,36600,3453,2225,0.0001,2.9771440029144287
-80.88,50.0,10,0.8252000000000003,736,36800,3454,2237,0.0001,4.19986629486084
-81.36,50.0,10,0.8242500000000004,740,37000,3454,2250,0.0001,3.3315916061401367
-81.24,50.0,10,0.8233000000000005,744,37200,3455,2262,0.0001,3.9295248985290527
-81.12,50.0,10,0.8223499999999995,748,37400,3454,2275,0.0001,2.282637596130371
-81.18,50.0,10,0.8213999999999997,752,37600,3453,2287,0.0001,2.232621669769287
-81.3,50.0,10,0.8204499999999997,756,37800,3453,2300,0.0001,2.255253314971924
-81.12,50.0,11,0.8194999999999999,760,38000,3454,2312,0.0001,2.4149882793426514
-81.36,50.0,11,0.81855,764,38200,3455,2325,0.0001,2.878082513809204
-81.48,50.0,11,0.8176000000000001,768,38400,3456,2337,0.0001,1.6215214729309082
-81.42,50.0,11,0.8166500000000002,772,38600,3456,2350,0.0001,1.945578932762146
-81.42,50.0,11,0.8157000000000003,776,38800,3457,2362,0.0001,6.807223796844482
-81.3,50.0,11,0.8147500000000004,780,39000,3457,2375,0.0001,4.089046478271484
-81.9,50.0,11,0.8138000000000005,784,39200,3457,2387,0.0001,4.734517574310303
-81.72,50.0,11,0.8128499999999995,788,39400,3457,2400,0.0001,3.7378830909729004
-81.36,50.0,11,0.8118999999999996,792,39600,3458,2412,0.0001,1.8375911712646484
-81.48,50.0,11,0.8109499999999997,796,39800,3455,2425,0.0001,2.2821569442749023
-81.48,50.0,11,0.8099999999999998,800,40000,3455,2437,0.0001,3.7911195755004883
-81.48,50.0,11,0.8090499999999999,804,40200,3451,2450,0.0001,2.2396278381347656
-81.66,50.0,11,0.8081,808,40400,3451,2462,0.0001,5.3219709396362305
-81.72,50.0,11,0.8071500000000001,812,40600,3450,2475,0.0001,2.704110860824585
-81.78,50.0,11,0.8062000000000002,816,40800,3450,2487,0.0001,4.390893459320068
-81.66,50.0,11,0.8052500000000004,820,41000,3449,2500,0.0001,2.738046169281006
-81.12,50.0,11,0.8043000000000005,824,41200,3450,2512,0.0001,2.8237452507019043
-81.18,50.0,11,0.8033499999999996,828,41400,3450,2525,0.0001,5.481870651245117
-81.06,50.0,12,0.8023999999999997,832,41600,3451,2537,0.0001,5.540500640869141
-81.18,50.0,12,0.8014499999999998,836,41800,3451,2550,0.0001,1.960925579071045
-81.42,50.0,12,0.8004999999999999,840,42000,3449,2562,0.0001,1.2714210748672485
-81.42,50.0,12,0.79955,844,42200,3448,2575,0.0001,2.334272861480713
-81.36,50.0,12,0.7986000000000001,848,42400,3449,2587,0.0001,2.3140673637390137
-81.42,50.0,12,0.7976500000000002,852,42600,3448,2600,0.0001,5.714326858520508
-81.18,50.0,12,0.7967000000000002,856,42800,3448,2612,0.0001,3.802781581878662
-81.36,50.0,12,0.7957500000000004,860,43000,3446,2625,0.0001,3.9449048042297363
-81.42,50.0,12,0.7948000000000004,864,43200,3447,2637,0.0001,2.8900198936462402
-81.48,50.0,12,0.7938499999999995,868,43400,3438,2650,0.0001,6.937731742858887
-81.78,50.0,12,0.7928999999999996,872,43600,3437,2662,0.0001,4.9168701171875
-81.96,50.0,12,0.7919499999999997,876,43800,3433,2675,0.0001,1.523500680923462
-81.96,50.0,12,0.7909999999999998,880,44000,3434,2687,0.0001,3.0995523929595947
-81.9,50.0,12,0.7900499999999999,884,44200,3434,2700,0.0001,4.277778148651123
-81.66,50.0,12,0.7891,888,44400,3436,2712,0.0001,1.7498761415481567
-81.78,50.0,12,0.7881500000000001,892,44600,3436,2725,0.0001,3.3609085083007812
-81.9,50.0,13,0.7872000000000002,896,44800,3436,2737,0.0001,3.444600820541382
-81.84,50.0,13,0.7862500000000003,900,45000,3436,2750,0.0001,5.679046630859375
-82.02,50.0,13,0.7853000000000004,904,45200,3436,2762,0.0001,1.977716088294983
-81.48,50.0,13,0.7843499999999995,908,45400,3434,2775,0.0001,5.645254611968994
-81.48,50.0,13,0.7833999999999997,912,45600,3434,2787,0.0001,7.323124408721924
-81.6,50.0,13,0.7824499999999998,916,45800,3433,2800,0.0001,4.418907165527344
-81.48,50.0,13,0.7814999999999999,920,46000,3434,2812,0.0001,3.5525293350219727
-81.78,50.0,13,0.7805499999999999,924,46200,3434,2825,0.0001,3.125741720199585
-81.96,50.0,13,0.7796000000000001,928,46400,3435,2837,0.0001,5.946767807006836
-82.02,50.0,13,0.7786500000000001,932,46600,3435,2850,0.0001,2.1848723888397217
-82.02,50.0,13,0.7777000000000003,936,46800,3435,2862,0.0001,4.12629508972168
-81.84,50.0,13,0.7767500000000004,940,47000,3430,2875,0.0001,4.13974666595459
-81.72,50.0,13,0.7758000000000005,944,47200,3429,2887,0.0001,5.025766372680664
-81.96,50.0,13,0.7748499999999995,948,47400,3427,2900,0.0001,5.351517677307129
-81.66,50.0,13,0.7738999999999996,952,47600,3426,2912,0.0001,2.803438425064087
-81.66,50.0,13,0.7729499999999997,956,47800,3423,2925,0.0001,2.5874128341674805
-81.66,50.0,14,0.7719999999999998,960,48000,3420,2937,0.0001,5.145328998565674
-81.84,50.0,14,0.7710499999999999,964,48200,3416,2950,0.0001,9.406852722167969
-81.66,50.0,14,0.7701,968,48400,3414,2962,0.0001,5.976024627685547
