train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,train/policy_loss,train/explained_variance,time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations
-0.019386444240808487,86.81,0.11810829490423203,23599,472000,0.14274810254573822,-0.40357112884521484,1096,0.0007,430,8.571000000000002,23600
-0.08378875255584717,87.19,0.001465675770305097,23699,474000,0.0016238972311839461,0.85146065056324,1096,0.0007,432,8.627,23700
-0.04860977455973625,88.89,23.88856315612793,23799,476000,-0.08617139607667923,0.03533446788787842,1095,0.0007,434,8.815,23800
-0.035284027457237244,83.75,0.0037183351814746857,23899,478000,1.9539369532139972e-05,0.9824345409870148,1095,0.0007,436,8.184,23900
-0.1422884166240692,88.69,0.0025852657854557037,23999,480000,0.007485785521566868,0.10825461149215698,1095,0.0007,438,8.786,24000
-0.045746006071567535,89.23,0.005597402807325125,24099,482000,-0.00034863100154325366,0.945025522261858,1095,0.0007,440,8.831,24100
-0.09351178258657455,92.7,19.674253463745117,24199,484000,0.006536972709000111,-0.0001399517059326172,1095,0.0007,441,9.277000000000003,24200
-0.0016327621415257454,93.9,0.0348815880715847,24299,486000,5.063803882876527e-07,0.17434722185134888,1094,0.0007,443,9.433,24300
-0.014663509093225002,96.4,0.0022062151692807674,24399,488000,3.6290668504079804e-05,0.9684645645320415,1095,0.0007,445,9.728,24400
-0.08699768781661987,95.1,0.0010813537519425154,24499,490000,0.003612072905525565,0.9977389695122838,1095,0.0007,447,9.580000000000002,24500
-0.1154870018362999,90.23,32.22859573364258,24599,492000,-1.47823166847229,0.1954057216644287,1095,0.0007,449,8.994,24600
-0.08858473598957062,89.48,0.005994244012981653,24699,494000,0.008226732723414898,0.9920545993372798,1094,0.0007,451,8.874,24700
-0.04125002399086952,86.61,0.00034360052086412907,24799,496000,-0.0008639295701868832,0.9997539450414479,1094,0.0007,453,8.533,24800
