rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/learning_rate,train/loss
50.0,3,13000,0.9382500000000005,-7.728000000000001,3610,260,750,0.0001,0.0121183255687356
50.0,3,13200,0.9372999999999996,-7.722000000000001,3610,264,762,0.0001,0.04369909316301346
50.0,3,13400,0.9363499999999996,-7.728000000000001,3608,268,775,0.0001,0.04645824804902077
50.0,3,13600,0.9353999999999998,-7.71,3611,272,787,0.0001,0.07479365170001984
50.0,3,13800,0.9344499999999999,-7.6979999999999995,3609,276,800,0.0001,0.0883062332868576
50.0,3,14000,0.9335,-7.716,3600,280,812,0.0001,0.17260143160820007
50.0,3,14200,0.9325500000000001,-7.734,3598,284,825,0.0001,0.10497871041297913
50.0,4,14400,0.9316000000000002,-7.758000000000001,3597,288,837,0.0001,0.11991103738546371
50.0,4,14600,0.9306500000000003,-7.734,3595,292,850,0.0001,0.02308446168899536
50.0,4,14800,0.9297000000000004,-7.728000000000001,3597,296,862,0.0001,0.17224347591400146
50.0,4,15000,0.9287500000000004,-7.722,3593,300,875,0.0001,0.061687272042036057
50.0,4,15200,0.9277999999999995,-7.715999999999999,3591,304,887,0.0001,0.03992050141096115
50.0,4,15400,0.9268499999999996,-7.691999999999999,3590,308,900,0.0001,0.08059247583150864
50.0,4,15600,0.9258999999999997,-7.704000000000001,3588,312,912,0.0001,0.13504570722579956
50.0,4,15800,0.9249499999999998,-7.698,3581,316,925,0.0001,0.015783755108714104
50.0,4,16000,0.9239999999999999,-7.7219999999999995,3579,320,937,0.0001,0.09623676538467407
50.0,4,16200,0.92305,-7.685999999999998,3577,324,950,0.0001,0.09742429852485657
50.0,4,16400,0.9221000000000001,-7.716,3576,328,962,0.0001,0.12013977766036987
50.0,4,16600,0.9211500000000002,-7.698,3548,332,975,0.0001,0.2157384753227234
50.0,4,16800,0.9202000000000004,-7.728000000000001,3545,336,987,0.0001,0.048569995909929276
50.0,4,17000,0.9192500000000005,-7.74,3539,340,1000,0.0001,0.013164602220058441
50.0,4,17200,0.9182999999999996,-7.788000000000002,3534,344,1012,0.0001,0.038206785917282104
50.0,4,17400,0.9173499999999997,-7.746,3531,348,1025,0.0001,0.02076335810124874
50.0,4,17600,0.9163999999999997,-7.8420000000000005,3526,352,1037,0.0001,0.1707884669303894
50.0,5,17800,0.9154499999999999,-7.83,3520,356,1050,0.0001,0.015407933853566647
50.0,5,18000,0.9145,-7.824000000000001,3520,360,1062,0.0001,0.12546634674072266
50.0,5,18200,0.9135500000000001,-7.83,3516,364,1075,0.0001,0.03106360323727131
50.0,5,18400,0.9126000000000002,-7.865999999999999,3517,368,1087,0.0001,0.20965181291103363
50.0,5,18600,0.9116500000000003,-7.89,3515,372,1100,0.0001,0.0534086674451828
50.0,5,18800,0.9107000000000003,-7.8599999999999985,3515,376,1112,0.0001,0.057578086853027344
50.0,5,19000,0.9097500000000005,-7.860000000000001,3512,380,1125,0.0001,0.0977783128619194
50.0,5,19200,0.9087999999999995,-7.848,3512,384,1137,0.0001,0.08115991950035095
50.0,5,19400,0.9078499999999996,-7.836,3508,388,1150,0.0001,0.2026582509279251
50.0,5,19600,0.9068999999999997,-7.86,3507,392,1162,0.0001,0.009491541422903538
50.0,5,19800,0.9059499999999998,-7.848,3503,396,1175,0.0001,0.05792563408613205
50.0,5,20000,0.9049999999999999,-7.854000000000001,3502,400,1187,0.0001,0.09867273271083832
50.0,5,20200,0.90405,-7.8900000000000015,3500,404,1200,0.0001,0.17353707551956177
50.0,5,20400,0.9031000000000001,-7.914000000000001,3501,408,1212,0.0001,0.017202254384756088
50.0,5,20600,0.9021500000000002,-7.8839999999999995,3500,412,1225,0.0001,0.22664222121238708
50.0,5,20800,0.9012000000000003,-7.896000000000002,3502,416,1237,0.0001,0.01188000850379467
50.0,5,21000,0.9002500000000004,-7.914000000000001,3500,420,1250,0.0001,0.1103316992521286
50.0,6,21200,0.8992999999999995,-7.9319999999999995,3499,424,1262,0.0001,0.19150826334953308
50.0,6,21400,0.8983499999999996,-7.92,3498,428,1275,0.0001,0.023527681827545166
50.0,6,21600,0.8973999999999998,-7.944000000000001,3497,432,1287,0.0001,0.07084845006465912
50.0,6,21800,0.8964499999999999,-7.889999999999999,3498,436,1300,0.0001,0.13425509631633759
50.0,6,22000,0.8955,-7.896,3499,440,1312,0.0001,0.1193305104970932
50.0,6,22200,0.89455,-7.854,3496,444,1325,0.0001,0.027349989861249924
50.0,6,22400,0.8936000000000002,-7.877999999999999,3497,448,1337,0.0001,0.18819576501846313
50.0,6,22600,0.8926500000000003,-7.884000000000001,3492,452,1350,0.0001,0.12442564964294434
50.0,6,22800,0.8917000000000004,-7.9079999999999995,3494,456,1362,0.0001,0.18439118564128876
50.0,6,23000,0.8907500000000004,-7.92,3491,460,1375,0.0001,0.12543947994709015
50.0,6,23200,0.8897999999999995,-7.895999999999999,3490,464,1387,0.0001,0.02873191423714161
50.0,6,23400,0.8888499999999996,-7.8839999999999995,3489,468,1400,0.0001,0.2836528420448303
50.0,6,23600,0.8878999999999997,-7.842,3489,472,1412,0.0001,0.18944622576236725
50.0,6,23800,0.8869499999999998,-7.86,3485,476,1425,0.0001,0.15380074083805084
50.0,6,24000,0.8859999999999999,-7.8180000000000005,3485,480,1437,0.0001,0.07179313898086548
50.0,6,24200,0.88505,-7.8180000000000005,3483,484,1450,0.0001,0.08463060855865479
50.0,7,24400,0.8841000000000001,-7.794,3480,488,1462,0.0001,0.1546652764081955
50.0,7,24600,0.8831500000000002,-7.7219999999999995,3478,492,1475,0.0001,0.2855833172798157
50.0,7,24800,0.8822000000000003,-7.697999999999999,3478,496,1487,0.0001,0.4343758523464203
50.0,7,25000,0.8812500000000004,-7.638,3476,500,1500,0.0001,0.1257162094116211
50.0,7,25200,0.8803000000000005,-7.5299999999999985,3475,504,1512,0.0001,0.2312413603067398
50.0,7,25400,0.8793499999999996,-7.481999999999999,3471,508,1525,0.0001,0.013599120080471039
50.0,7,25600,0.8783999999999996,-7.446000000000001,3468,512,1537,0.0001,0.17041651904582977
