rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
89.17,37,62.55,63,37888,595,360,630.8460405349731,0.07442426681518555,269.6298522949219,0.009375,-0.1450464547611773,-0.0005196320242248475,0.0003,0.00041994554,0.2
86.75,38,62.11,65,38912,596,370,748.666363620758,0.10923081636428833,325.5790710449219,0.0076171875,-0.1272115227766335,-0.00047242456348612906,0.0003,0.0016666758,0.2
90.57,39,62.96,67,39936,592,380,853.0424180984497,0.06752181053161621,489.0211181640625,0.01201171875,-0.15229644076898693,-0.0007754133170237764,0.0003,0.0015290829,0.2
96.96,40,64.4,69,40960,589,390,686.7087726593018,0.14247477054595947,365.2549133300781,0.0015625,-0.1223560624755919,-0.000487200339557603,0.0003,0.00038688423,0.2
97.17,41,64.61,71,41984,589,400,1053.1716873168946,0.03142327070236206,350.71734619140625,0.0041015625,-0.14113184208981694,-0.0005475862475577742,0.0003,0.00025060205,0.2
103.56,42,66.05,72,43008,590,410,920.6404403686523,0.08502215147018433,404.4035949707031,0.02275390625,-0.1379635280929506,-0.002154377623810433,0.0003,0.0012813868,0.2
107.51,43,67.03,74,44032,591,420,888.3043506622314,0.148165762424469,356.8548889160156,0.00244140625,-0.11783891706727445,-0.0009780166787095369,0.0003,0.00059356133,0.2
112.34,44,67.9,76,45056,591,430,875.0050235748291,0.12458258867263794,433.2885437011719,0.01591796875,-0.12102466281503439,-0.0012604090676177292,0.0003,0.0008531455,0.2
112.17,45,67.73,77,46080,592,440,881.308247756958,0.1709558367729187,439.21075439453125,0.00224609375,-0.11488653579726815,-0.0010773405549116433,0.0003,0.0005958384,0.2
112.69,46,68.25,79,47104,592,450,753.9290340423584,0.07370465993881226,297.41400146484375,0.01474609375,-0.12046517655253411,-0.0010884556628298014,0.0003,0.0017160343,0.2
107.6,47,67.12,81,48128,593,460,658.1597887039185,0.2382628321647644,356.0025939941406,0.0123046875,-0.09260022612288595,-0.0016625552962068468,0.0003,0.00037910984,0.2
108.99,48,67.52,82,49152,593,470,699.842437171936,0.31396055221557617,308.0137023925781,0.01298828125,-0.12241496997885407,-0.000622754346113652,0.0003,0.000938319,0.2
105.22,49,66.72,84,50176,593,480,754.404242324829,0.2666393518447876,492.5011901855469,0.01103515625,-0.11575790983624756,-0.0002867754141334444,0.0003,0.0010677058,0.2
103.9,50,66.39,86,51200,593,490,882.7504833221435,0.14840412139892578,333.5247802734375,0.00546875,-0.1153083655750379,-0.0006858826032839716,0.0003,0.00038524202,0.2
98.92,51,65.37,88,52224,592,500,703.8263584136963,0.24561679363250732,359.447998046875,0.0087890625,-0.10943055143579841,-0.0002698823343962431,0.0003,0.00020706415,0.2
102.46,52,65.94,90,53248,590,510,735.7520050048828,0.19526559114456177,286.6751403808594,0.00810546875,-0.11133761638775468,-7.95962696429342e-05,0.0003,0.0010937378,0.2
100.04,53,64.51,91,54272,591,520,610.9214687347412,0.2534317374229431,374.3783874511719,0.01982421875,-0.11381603549234569,-0.002245332289021462,0.0003,0.0018321732,0.2
99.75,54,64.22,93,55296,590,530,621.9436012268067,0.22959274053573608,338.7469482421875,0.01884765625,-0.09043709789402783,-0.0023388335015624762,0.0003,0.0009944647,0.2
104.79,55,65.3,95,56320,589,540,895.6182977676392,0.10398244857788086,517.29248046875,0.0251953125,-0.09646476830821485,-0.003428943536709994,0.0003,0.0015003766,0.2
103.44,56,64.94,97,57344,589,550,898.6997394561768,0.19753116369247437,444.52606201171875,0.00419921875,-0.10056768662761897,7.997776265256107e-05,0.0003,0.00088238344,0.2
106.4,57,65.92,98,58368,590,560,910.4743022918701,0.1980798840522766,292.5859069824219,0.001171875,-0.10146141434088349,-0.00010319141147192567,0.0003,0.00081826,0.2
111.47,58,67.03,100,59392,590,570,644.7085071563721,0.257282018661499,401.03118896484375,0.00693359375,-0.11391128273680806,-0.00041568928281776607,0.0003,0.0007763858,0.2
114.61,59,68.19,102,60416,590,580,717.366729927063,0.30075955390930176,356.7988586425781,0.02080078125,-0.10052200714126229,-0.0029919817752670497,0.0003,0.0012838934,0.2
118.54,60,69.15,103,61440,591,590,772.850404548645,0.3269404172897339,433.1797790527344,0.0080078125,-0.11910775653086603,-0.00015962946927174925,0.0003,0.0017477933,0.2
124.63,61,70.29,105,62464,590,600,719.0457914352417,0.36176925897598267,327.411865234375,0.009765625,-0.10400438611395657,-0.0010075323341879993,0.0003,0.0009371899,0.2
122.33,62,69.97,107,63488,591,610,672.601841545105,0.4018901586532593,225.44410705566406,0.0048828125,-0.09658000657800585,-0.0008045113238040358,0.0003,0.00020759503,0.2
118.42,63,69.03,109,64512,590,620,950.8633110046387,0.21681392192840576,355.9347229003906,0.01201171875,-0.09798208088614047,-0.0006595767132239416,0.0003,0.0002988295,0.2
118.43,64,69.04,111,65536,589,630,783.7521369934082,0.17722564935684204,263.55712890625,0.01357421875,-0.08542738158721477,-0.0015581942105200141,0.0003,0.00087081303,0.2
116.21,65,68.8,112,66560,590,640,728.9508577346802,0.2604302763938904,495.49072265625,0.01376953125,-0.10124171378556639,-0.001631231786450371,0.0003,0.0017024834,0.2
