time/total_timesteps,time/iterations,train/policy_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/fps,train/n_updates
880000,44000,-0.0,66.13,0.9990781604428776,-6.546029435058843e-15,0.038679804652929306,99.68,0.0007,809,1087,43999
882000,44100,0.05703138932585716,65.56,-0.05817294120788574,-0.030606398358941078,490.4612731933594,94.16,0.0007,811,1087,44099
884000,44200,0.0022738005500286818,67.92,0.9973030120600015,-0.01753362827003002,0.25669917464256287,101.47,0.0007,812,1087,44199
886000,44300,0.002437666291370988,70.89,0.9918897403404117,-0.03510134294629097,0.06385872513055801,112.36,0.0007,814,1087,44299
888000,44400,-0.0010935553582385182,72.56,0.9982033686246723,-0.01890554465353489,0.06024756655097008,120.96,0.0007,816,1087,44399
890000,44500,0.002278338884934783,75.5,0.9995375130383763,-0.014704301953315735,0.06363813579082489,133.8,0.0007,818,1087,44499
892000,44600,-0.00613885372877121,72.33,-0.3698883056640625,-0.027888521552085876,1766.0465087890625,125.68,0.0007,820,1087,44599
894000,44700,-0.008540976792573929,64.13,0.9875608114525676,-0.017332373186945915,0.4159323275089264,98.67,0.0007,822,1087,44699
896000,44800,-0.0006455433904193342,54.71,0.9997813450318063,-0.01951593905687332,0.017618292942643166,63.51,0.0007,823,1087,44799
898000,44900,0.0007108918507583439,50.02,0.9996429173625074,-0.010173993185162544,0.030719159170985222,39.02,0.0007,825,1087,44899
900000,45000,-0.001682611764408648,50.02,0.999882520060055,-0.028333136811852455,0.009142905473709106,39.02,0.0007,827,1087,44999
902000,45100,0.007098099682480097,50.3,0.9753452707082033,-0.033078067004680634,5.31488561630249,41.28,0.0007,829,1087,45099
904000,45200,-0.01755080558359623,51.03,0.9259162023663521,-0.029964780434966087,27.1341495513916,45.97,0.0007,831,1087,45199
906000,45300,5.3419102187035605e-05,55.57,0.9989228144986555,-0.015545882284641266,0.008606296963989735,69.32,0.0007,833,1087,45299
908000,45400,-0.0006925888592377305,63.25,0.13577252626419067,-0.03436576947569847,1211.226806640625,97.79,0.0007,834,1087,45399
910000,45500,-0.08406728506088257,72.12,0.20728814601898193,-0.012857017107307911,1014.35986328125,128.44,0.0007,836,1087,45499
912000,45600,-0.00035661066067405045,77.25,0.9980435019824654,-0.006765059661120176,0.4415820240974426,144.46,0.0007,838,1088,45599
914000,45700,-0.0,84.65,0.9984721691580489,-1.4667647008081985e-07,0.21818767488002777,166.71,0.0007,839,1088,45699
916000,45800,0.17259930074214935,84.44,0.21123629808425903,-0.011217604391276836,933.46337890625,161.55,0.0007,841,1088,45799
