time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl
89,626,56320,8.605,87.96,55,0.2,0.5544135570526123,0.02431640625,0.48183417320251465,540,-0.07451840415596962,1.5147140584886074,-0.0011655075766611844,0.0003,0.002604152
91,627,57344,8.765,89.2,56,0.2,0.48156270384788513,0.03154296875,0.6231725811958313,550,-0.06427442317362875,1.0592328950762748,-0.003693944524275139,0.0003,0.005378709
93,626,58368,8.943999999999999,90.63,57,0.2,0.16877025365829468,0.0234375,0.7157970070838928,560,-0.05649226343957707,0.7487265662290156,-0.0016262969584204257,0.0003,0.0012951923
94,626,59392,8.998000000000001,91.08,58,0.2,0.43926766514778137,0.0146484375,0.5721080899238586,570,-0.06490037606272381,1.217686926946044,-1.4680580352433027e-05,0.0003,0.0018417474
96,627,60416,9.348000000000003,93.95,59,0.2,0.5070488452911377,0.02919921875,0.6210408508777618,580,-0.05640135237481445,1.0487117251381277,-0.002717197558376938,0.0003,0.002408347
97,627,61440,9.165000000000001,92.48,60,0.2,0.4530237019062042,0.02197265625,0.4930139183998108,590,-0.06101946127600968,1.2823555450886488,-0.0031990274495910854,0.0003,0.0008479445
99,627,62464,9.457,94.86,61,0.2,1.0109875202178955,0.0154296875,0.43045884370803833,600,-0.06752578639425337,1.567258994653821,-0.0005081099923700094,0.0003,0.00020680917
101,627,63488,9.286,93.51,62,0.2,0.7112403512001038,0.01328125,0.2068527340888977,610,-0.052854733815183866,1.4690594401210546,-0.0004269110504537821,0.0003,0.0009794743
102,628,64512,9.304,93.6,63,0.2,0.8297643065452576,0.0099609375,0.38185423612594604,620,-0.061945681658107786,1.437367992848158,-0.0002985259576234967,0.0003,0.00035879962
104,628,65536,9.371,94.27,64,0.2,0.45139873027801514,0.0208984375,0.5531414449214935,630,-0.055659462057519704,1.0339688390493393,-0.0002989765373058617,0.0003,0.0047976794
105,628,66560,9.8,97.75,65,0.2,0.6106422543525696,0.00830078125,0.5326163172721863,640,-0.06617601595353335,1.3556388271972537,0.0003103922092122957,0.0003,0.00013070306
107,628,67584,9.66,96.53,66,0.2,0.6823132634162903,0.014453125,0.5071257650852203,650,-0.05931924735195935,1.210793662443757,-0.0015561486012302338,0.0003,0.0010234122
109,628,68608,9.443999999999999,94.82,67,0.2,0.4732590913772583,0.02080078125,0.6574326157569885,660,-0.06661086146486923,1.0530562883242964,-0.0009117521054577083,0.0003,0.0017060178
110,628,69632,9.294,93.5,68,0.2,0.5618237257003784,0.02626953125,0.5464917421340942,670,-0.06527416605094913,1.376022682711482,-0.0011973806307651103,0.0003,0.0050824326
112,628,70656,9.456000000000001,94.85,69,0.2,0.49333056807518005,0.00869140625,0.6933974027633667,680,-0.057495620369445534,1.0047611573711037,-0.00047435080632567405,0.0003,0.00071478315
